,Date,Field,Return,State,Portfolio Value
0,2023-01-03,Close,0.010314266324145852,1,0
1,2023-01-04,Close,0.010314266324145852,1,0
2,2023-01-05,Close,-0.010604992131317355,-1,0
3,2023-01-06,Close,0.036794113714960296,1,0
4,2023-01-09,Close,0.004089013727403191,0,0
5,2023-01-10,Close,0.0044568533887869655,0,0
6,2023-01-11,Close,0.02111174181304805,1,1
7,2023-01-12,Close,-0.0005988891134932025,0,1
8,2023-01-13,Close,0.010119291106223888,1,2
9,2023-01-17,Close,0.008755964202085723,0,2
10,2023-01-18,Close,-0.005369889069201903,0,2
11,2023-01-19,Close,0.00044382520733554447,0,2
12,2023-01-20,Close,0.019220420002873165,1,3
13,2023-01-23,Close,0.02350051742181537,1,3
14,2023-01-24,Close,0.010063019633698222,1,3
15,2023-01-25,Close,-0.004700576657758638,0,3
16,2023-01-26,Close,0.014803568982417012,1,4
17,2023-01-27,Close,0.013683980824941603,1,4
18,2023-01-30,Close,-0.02007811836982236,-1,4
19,2023-01-31,Close,0.009021016885186315,0,4
20,2023-02-01,Close,0.00790062600702964,0,4
21,2023-02-02,Close,0.037062448550339945,1,5
22,2023-02-03,Close,0.02440007877669143,1,5
23,2023-02-06,Close,-0.017928852868838087,-1,5
24,2023-02-07,Close,0.01924492167255171,1,5
25,2023-02-08,Close,-0.017652987348497063,-1,5
26,2023-02-09,Close,-0.006911315390070449,0,5
27,2023-02-10,Close,0.002455949738454667,0,5
28,2023-02-13,Close,0.018807228899620585,1,6
29,2023-02-14,Close,-0.004225226944218683,0,6
30,2023-02-15,Close,0.01390345345325651,1,7
31,2023-02-16,Close,-0.010429415689947227,-1,7
32,2023-02-17,Close,-0.007546409634393457,0,7
33,2023-02-21,Close,-0.02667982952429855,-1,7
34,2023-02-22,Close,0.002895897332077671,0,7
35,2023-02-23,Close,0.003290588538705798,0,7
36,2023-02-24,Close,-0.01800523260039249,-1,7
37,2023-02-27,Close,0.008247042611205012,0,7
38,2023-02-28,Close,-0.003447863384955102,0,7
39,2023-03-01,Close,-0.014245641841594247,-1,7
40,2023-03-02,Close,0.004129003691058104,0,7
41,2023-03-03,Close,0.035090016005754704,1,8
42,2023-03-06,Close,0.018539807133285815,1,8
43,2023-03-07,Close,-0.014496779038162017,-1,8
44,2023-03-08,Close,0.008377593171130994,0,8
45,2023-03-09,Close,-0.014914664365796282,-1,8
46,2023-03-10,Close,-0.013878717275127624,-1,8
47,2023-03-13,Close,0.013265715082633939,1,8
48,2023-03-14,Close,0.014088892244394536,1,8
49,2023-03-15,Close,0.0026215609718815867,0,8
50,2023-03-16,Close,0.018693934788080124,1,9
51,2023-03-17,Close,-0.005454046993178509,0,9
52,2023-03-20,Close,0.0154841513325594,1,10
53,2023-03-21,Close,0.011943974456501288,1,10
54,2023-03-22,Close,-0.00910345802645019,0,10
55,2023-03-23,Close,0.00696978189971464,0,10
56,2023-03-24,Close,0.008305595301803805,0,10
57,2023-03-27,Close,-0.012293662703451426,-1,10
58,2023-03-28,Close,-0.003979938973422345,0,10
59,2023-03-29,Close,0.019790451046788355,1,11
60,2023-03-30,Close,0.009890167612577449,0,11
61,2023-03-31,Close,0.015644156583982455,1,12
62,2023-04-03,Close,0.007701288527018902,0,12
63,2023-04-04,Close,-0.003249485593906924,0,12
64,2023-04-05,Close,-0.011290398942401355,-1,12
65,2023-04-06,Close,0.005496330356896146,0,12
66,2023-04-10,Close,-0.015972691161260554,-1,12
67,2023-04-11,Close,-0.007590756823397934,0,12
68,2023-04-12,Close,-0.004353336088424727,0,12
69,2023-04-13,Close,0.03410361067503932,1,13
70,2023-04-14,Close,-0.002114390852618212,0,13
71,2023-04-17,Close,0.00012109572769408733,0,13
72,2023-04-18,Close,0.0075045922579914355,0,13
73,2023-04-19,Close,0.006968580092169703,0,13
74,2023-04-20,Close,-0.005846227659829771,0,13
75,2023-04-21,Close,-0.00978130512315006,0,13
76,2023-04-24,Close,0.0018788403826401363,0,13
77,2023-04-25,Close,-0.00943556851170134,0,13
78,2023-04-26,Close,-6.138716578519345e-05,0,13
79,2023-04-27,Close,0.028395148888363714,1,14
80,2023-04-28,Close,0.007541378186415769,0,14
81,2023-05-01,Close,-0.0005302789267153742,0,14
82,2023-05-02,Close,-0.006191253047016676,0,14
83,2023-05-03,Close,-0.006467826099405082,0,14
84,2023-05-04,Close,-0.00991289072045128,0,14
85,2023-05-05,Close,0.046926865474338234,1,15
86,2023-05-08,Close,-0.00040371042899307923,0,15
87,2023-05-09,Close,-0.009971097261077241,0,15
88,2023-05-10,Close,0.01039167027590159,1,16
89,2023-05-11,Close,0.0011237679824598842,0,16
90,2023-05-12,Close,-0.0054175406113031125,0,16
91,2023-05-15,Close,-0.0028971814729316595,0,16
92,2023-05-16,Close,0.0,0,16
93,2023-05-17,Close,0.0036028267165792273,0,16
94,2023-05-18,Close,0.013666010312149122,1,17
95,2023-05-19,Close,0.0006285794906441469,0,17
96,2023-05-22,Close,-0.0054805669710152145,0,17
97,2023-05-23,Close,-0.015154903212867206,-1,17
98,2023-05-24,Close,0.0016320898474531033,0,17
99,2023-05-25,Close,0.006691823811184843,0,17
100,2023-05-26,Close,0.014104852024989867,1,18
101,2023-05-30,Close,0.010659843573219337,1,18
102,2023-05-31,Close,-0.00028198905338882175,0,18
103,2023-06-01,Close,0.016022402363485604,1,19
104,2023-06-02,Close,0.004775294679053005,0,19
105,2023-06-05,Close,-0.007571092032654541,0,19
106,2023-06-06,Close,-0.0020601139575656307,0,19
107,2023-06-07,Close,-0.007756641126780165,0,19
108,2023-06-08,Close,0.015465177661535571,1,20
109,2023-06-09,Close,0.0021600169465421848,0,20
110,2023-06-12,Close,0.01563899112446068,1,21
111,2023-06-13,Close,-0.002612156963211933,0,21
112,2023-06-14,Close,0.0034914499183686253,0,21
113,2023-06-15,Close,0.011198713722476614,1,22
114,2023-06-16,Close,-0.005859833558490135,0,22
115,2023-06-20,Close,0.00048699024825097996,0,22
116,2023-06-21,Close,-0.005675531507909273,0,22
117,2023-06-22,Close,0.016525100907898167,1,23
118,2023-06-23,Close,-0.001711008652216993,0,23
119,2023-06-26,Close,-0.007553280339367808,0,23
120,2023-06-27,Close,0.015059509746333067,1,24
121,2023-06-28,Close,0.006327664433593069,0,24
122,2023-06-29,Close,0.001796233109255183,0,24
123,2023-06-30,Close,0.02310264228395679,1,25
124,2023-07-03,Close,-0.007784397045655648,0,25
125,2023-07-05,Close,-0.005871582604341045,0,25
126,2023-07-06,Close,0.0025086920065022582,0,25
127,2023-07-07,Close,-0.005890958386437387,0,25
128,2023-07-10,Close,-0.010856104880745582,-1,25
129,2023-07-11,Close,-0.0028099501724879756,0,25
130,2023-07-12,Close,0.008985257835744824,0,25
131,2023-07-13,Close,0.004057696529796538,0,25
132,2023-07-14,Close,0.0007871837631492922,0,25
133,2023-07-17,Close,0.017305473994668873,1,26
134,2023-07-18,Close,-0.0013398755556292175,0,26
135,2023-07-19,Close,0.007071638820944531,0,26
136,2023-07-20,Close,-0.010097636732077003,-1,26
137,2023-07-21,Close,-0.0061615540444652,0,26
138,2023-07-24,Close,0.004219996338624943,0,26
139,2023-07-25,Close,0.0045137344407416196,0,26
140,2023-07-26,Close,0.004544785189548505,0,26
141,2023-07-27,Close,-0.006580641897768561,0,26
142,2023-07-28,Close,0.013507741868440113,1,27
143,2023-07-31,Close,0.0031662101397675183,0,27
144,2023-08-01,Close,-0.0043014698179093995,0,27
145,2023-08-02,Close,-0.015464832915545252,-1,27
146,2023-08-03,Close,-0.007321873085795382,0,27
147,2023-08-04,Close,-0.04802014515434466,-1,27
148,2023-08-07,Close,-0.017253430026683354,-1,27
149,2023-08-08,Close,0.005311920245416036,0,27
150,2023-08-09,Close,-0.00895457550498961,0,27
151,2023-08-10,Close,-0.0012344420023539327,0,27
152,2023-08-11,Close,0.00033733852315674185,0,27
153,2023-08-14,Close,0.009393232271169238,0,27
154,2023-08-15,Close,-0.011200281571324357,-1,27
155,2023-08-16,Close,-0.0049590176206998696,0,27
156,2023-08-17,Close,-0.014555427481219452,-1,27
157,2023-08-18,Close,0.002815909688066088,0,27
158,2023-08-21,Close,0.007736802761231409,0,27
159,2023-08-22,Close,0.007904903959750107,0,27
160,2023-08-23,Close,0.021949276805271423,1,28
161,2023-08-24,Close,-0.02617087514503088,-1,28
162,2023-08-25,Close,0.01264357100874585,1,28
163,2023-08-28,Close,0.008846030569016713,0,28
164,2023-08-29,Close,0.021810157374991427,1,29
165,2023-08-30,Close,0.019172483192970633,1,29
166,2023-08-31,Close,0.0011722320976810608,0,29
167,2023-09-01,Close,0.008463382887625815,0,29
168,2023-09-05,Close,0.0012668704384196673,0,29
169,2023-09-06,Close,-0.03579375188283859,-1,29
170,2023-09-07,Close,-0.029249081187152724,-1,29
171,2023-09-08,Close,0.0034918046486624526,0,29
172,2023-09-11,Close,0.0066222594345675175,0,29
173,2023-09-12,Close,-0.017060220005287955,-1,29
174,2023-09-13,Close,-0.011854846093434243,-1,29
175,2023-09-14,Close,0.008782273849254575,0,29
176,2023-09-15,Close,-0.0041538042879857556,0,29
177,2023-09-18,Close,0.016913100018905048,1,30
178,2023-09-19,Close,0.006181084596694455,0,30
179,2023-09-20,Close,-0.019992553462500073,-1,30
180,2023-09-21,Close,-0.008889043777926332,0,30
181,2023-09-22,Close,0.004944667909462643,0,30
182,2023-09-25,Close,0.007379934104863166,0,30
183,2023-09-26,Close,-0.02339825604899547,-1,30
184,2023-09-27,Close,-0.008897769231711143,0,30
185,2023-09-28,Close,0.001525982888284401,0,30
186,2023-09-29,Close,0.00304614086962442,0,30
187,2023-10-02,Close,0.014836021990222947,1,31
188,2023-10-03,Close,-0.00777032699885687,0,31
189,2023-10-04,Close,0.007308944209982096,0,31
190,2023-10-05,Close,0.0071981779395591345,0,31
191,2023-10-06,Close,0.014750314260280246,1,32
192,2023-10-09,Close,0.008451081338480538,0,32
193,2023-10-10,Close,-0.003352439719100848,0,32
194,2023-10-11,Close,0.007904311964039375,0,32
195,2023-10-12,Close,0.005060930796399592,0,32
196,2023-10-13,Close,-0.010292262300393543,-1,32
197,2023-10-16,Close,-0.0007270705112646257,0,32
198,2023-10-17,Close,-0.00878448804930398,0,32
199,2023-10-18,Close,-0.007395375555700065,0,32
200,2023-10-19,Close,-0.002160962637583297,0,32
201,2023-10-20,Close,-0.014704084093212848,-1,32
202,2023-10-23,Close,0.0006941846809620842,0,32
203,2023-10-24,Close,0.002543578117230552,0,32
204,2023-10-25,Close,-0.013492023578091445,-1,32
205,2023-10-26,Close,-0.024605480815037963,-1,32
206,2023-10-27,Close,0.007969577911545334,0,32
207,2023-10-30,Close,0.012305062562356642,1,33
208,2023-10-31,Close,0.0028189711814951544,0,33
209,2023-11-01,Close,0.018738551500634054,1,34
210,2023-11-02,Close,0.0206933276164032,1,34
211,2023-11-03,Close,-0.005181513903192565,0,34
212,2023-11-06,Close,0.014605599437434084,1,35
213,2023-11-07,Close,0.014450726396112062,1,35
214,2023-11-08,Close,0.005884772709476764,0,35
215,2023-11-09,Close,-0.002624761123713403,0,35
216,2023-11-10,Close,0.023220023546508647,1,36
217,2023-11-13,Close,-0.008583365921367481,0,36
218,2023-11-14,Close,0.01428552077999825,1,37
219,2023-11-15,Close,0.003041114608835089,0,37
220,2023-11-16,Close,0.009041893717007584,0,37
221,2023-11-17,Close,-0.00010503081783648609,0,37
222,2023-11-20,Close,0.00927799299333908,0,37
223,2023-11-21,Close,-0.004231038774933828,0,37
224,2023-11-22,Close,0.003514761261994768,0,37
225,2023-11-24,Close,-0.007004378587107524,0,37
226,2023-11-27,Close,-0.0009476729569030184,0,37
227,2023-11-28,Close,0.0032139599394559325,0,37
228,2023-11-29,Close,-0.0054092059573836145,0,37
229,2023-11-30,Close,0.003062464871804152,0,37
230,2023-12-01,Close,0.006791493659462762,0,37
231,2023-12-04,Close,-0.009464581251050323,0,37
232,2023-12-05,Close,0.021063108453680517,1,38
233,2023-12-06,Close,-0.005687115468736531,0,38
234,2023-12-07,Close,0.010139273793712718,1,39
235,2023-12-08,Close,0.007412546180234832,0,39
236,2023-12-11,Close,-0.012927413504307306,-1,39
237,2023-12-12,Close,0.007920333295669412,0,39
238,2023-12-13,Close,0.016691187322555083,1,40
239,2023-12-14,Close,0.0007576841974288258,0,40
240,2023-12-15,Close,-0.0027256990510847313,0,40
241,2023-12-18,Close,-0.008503016954340708,0,40
242,2023-12-19,Close,0.005359833653989633,0,40
243,2023-12-20,Close,-0.01071386808616639,-1,40
244,2023-12-21,Close,-0.0007698565692457155,0,40
245,2023-12-22,Close,-0.005547443603647461,0,40
246,2023-12-26,Close,-0.002840913498761015,0,40
247,2023-12-27,Close,0.0005176241156821833,0,40
248,2023-12-28,Close,0.002226498389352717,0,40
249,2023-12-29,Close,-0.0054243112800536515,0,40
